"COUNTRY","PRODUCTION_INDEX","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"United Kingdom","Industrial Production","Index","Monthly","1990-M07","76.04269204481881","Units"
"United Kingdom","Industrial Production","Index","Monthly","1990-M08","75.11534214183319","Units"
"United Kingdom","Industrial Production","Index","Monthly","1990-M09","79.10294672467126","Units"
"United Kingdom","Industrial Production","Index","Monthly","1990-M10","87.26362587094449","Units"
"United Kingdom","Industrial Production","Index","Monthly","1990-M11","86.70721592915315","Units"
"United Kingdom","Industrial Production","Index","Monthly","1990-M12","77.80465686049147","Units"
"United Kingdom","Industrial Production","Index","Monthly","1991-M01","81.05038152094105","Units"
"United Kingdom","Industrial Production","Index","Monthly","1991-M02","79.75209165676121","Units"
"United Kingdom","Industrial Production","Index","Monthly","1991-M03","84.5743111522863","Units"
"United Kingdom","Industrial Production","Index","Monthly","1991-M04","77.89739185078999","Units"
"United Kingdom","Industrial Production","Index","Monthly","1991-M05","78.17559682168567","Units"
"United Kingdom","Industrial Production","Index","Monthly","1991-M06","75.67175208362453","Units"
"United Kingdom","Industrial Production","Index","Monthly","1991-M07","75.30081212243031","Units"
"United Kingdom","Industrial Production","Index","Monthly","1991-M08","70.20038765600953","Units"
"United Kingdom","Industrial Production","Index","Monthly","1991-M09","77.34098190899861","Units"
"United Kingdom","Industrial Production","Index","Monthly","1991-M10","84.66704614258482","Units"
"United Kingdom","Industrial Production","Index","Monthly","1991-M11","83.18328629780783","Units"
"United Kingdom","Industrial Production","Index","Monthly","1991-M12","77.89739185078993","Units"
"United Kingdom","Industrial Production","Index","Monthly","1992-M01","78.54653678287985","Units"
"United Kingdom","Industrial Production","Index","Monthly","1992-M02","79.28841670526831","Units"
"United Kingdom","Industrial Production","Index","Monthly","1992-M03","87.07815589034731","Units"
"United Kingdom","Industrial Production","Index","Monthly","1992-M04","77.9901268410885","Units"
"United Kingdom","Industrial Production","Index","Monthly","1992-M05","74.00252225825041","Units"
"United Kingdom","Industrial Production","Index","Monthly","1992-M06","78.45380179258126","Units"
"United Kingdom","Industrial Production","Index","Monthly","1992-M07","75.76448707392302","Units"
"United Kingdom","Industrial Production","Index","Monthly","1992-M08","69.55124272391956","Units"
"United Kingdom","Industrial Production","Index","Monthly","1992-M09","80.21576660825389","Units"
"United Kingdom","Industrial Production","Index","Monthly","1992-M10","84.7597811328833","Units"
"United Kingdom","Industrial Production","Index","Monthly","1992-M11","83.64696124930062","Units"
"United Kingdom","Industrial Production","Index","Monthly","1992-M12","80.49397157914962","Units"
"United Kingdom","Industrial Production","Index","Monthly","1993-M01","76.5991019866101","Units"
"United Kingdom","Industrial Production","Index","Monthly","1993-M02","79.566621676164","Units"
"United Kingdom","Industrial Production","Index","Monthly","1993-M03","90.32388055079689","Units"
"United Kingdom","Industrial Production","Index","Monthly","1993-M04","79.1029467246712","Units"
"United Kingdom","Industrial Production","Index","Monthly","1993-M05","77.89739185078997","Units"
"United Kingdom","Industrial Production","Index","Monthly","1993-M06","79.1956817149698","Units"
"United Kingdom","Industrial Production","Index","Monthly","1993-M07","75.85722206422167","Units"
"United Kingdom","Industrial Production","Index","Monthly","1993-M08","72.79696738436918","Units"
"United Kingdom","Industrial Production","Index","Monthly","1993-M09","82.53414136571792","Units"
"United Kingdom","Industrial Production","Index","Monthly","1993-M10","84.01790121049488","Units"
"United Kingdom","Industrial Production","Index","Monthly","1993-M11","89.48926563810989","Units"
"United Kingdom","Industrial Production","Index","Monthly","1993-M12","82.99781631721075","Units"
"United Kingdom","Industrial Production","Index","Monthly","1994-M01","80.03029662765684","Units"
"United Kingdom","Industrial Production","Index","Monthly","1994-M02","82.62687635601651","Units"
"United Kingdom","Industrial Production","Index","Monthly","1994-M03","94.12601515303789","Units"
"United Kingdom","Industrial Production","Index","Monthly","1994-M04","82.34867138512083","Units"
"United Kingdom","Industrial Production","Index","Monthly","1994-M05","83.92516622019634","Units"
"United Kingdom","Industrial Production","Index","Monthly","1994-M06","84.4815761619877","Units"
"United Kingdom","Industrial Production","Index","Monthly","1994-M07","78.5465367828799","Units"
"United Kingdom","Industrial Production","Index","Monthly","1994-M08","79.84482664705972","Units"
"United Kingdom","Industrial Production","Index","Monthly","1994-M09","87.72730082243728","Units"
"United Kingdom","Industrial Production","Index","Monthly","1994-M10","88.74738571572143","Units"
"United Kingdom","Industrial Production","Index","Monthly","1994-M11","93.29140024035084","Units"
"United Kingdom","Industrial Production","Index","Monthly","1994-M12","85.96533600676461","Units"
"United Kingdom","Industrial Production","Index","Monthly","1995-M01","84.29610618139052","Units"
"United Kingdom","Industrial Production","Index","Monthly","1995-M02","85.9927439117363","Units"
"United Kingdom","Industrial Production","Index","Monthly","1995-M03","97.15483424295856","Units"
"United Kingdom","Industrial Production","Index","Monthly","1995-M04","82.59946845104474","Units"
"United Kingdom","Industrial Production","Index","Monthly","1995-M05","86.43922752498521","Units"
"United Kingdom","Industrial Production","Index","Monthly","1995-M06","85.81415046643677","Units"
"United Kingdom","Industrial Production","Index","Monthly","1995-M07","80.63494055274962","Units"
"United Kingdom","Industrial Production","Index","Monthly","1995-M08","81.34931433394785","Units"
