"COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1989-M11","52.1","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1989-M12","52.2","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1990-M01","52.4","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1990-M02","52.9","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1990-M03","53.1","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1990-M04","54.4","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1990-M05","55","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1990-M06","55.2","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1990-M07","55.2","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1990-M08","55.7","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1990-M09","56.2","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1990-M10","56.7","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1990-M11","56.9","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1990-M12","57","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1991-M01","57","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1991-M02","57.2","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1991-M03","57.5","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1991-M04","58.7","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1991-M05","59.2","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1991-M06","59.5","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1991-M07","59.3","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1991-M08","59.9","Units"
